claim_bearing,inspect_task,manifest,manifest_hash,phase,split,surface
True,src/slopbench_inspect/tasks/vericoding_bank_construction.py@vericoding_bank_construction,primary_core_dev_manifest.json,1560a7c8b705a8eb8db33b004ec793d67b8950c2255778d320349f0b1840241a,bank_construction,dev,bank_construction
False,src/slopbench_inspect/tasks/vericoding_external_guardrail.py@vericoding_external_guardrail,terminalbench_guardrail_manifest.json,4d0af406f72d47a1be6593d850f4ac0465466b1986b2297599d91a40cfe388bc,external_guardrail,confirmatory,terminalbench_guardrail
True,src/slopbench_inspect/tasks/vericoding_fixed_bank_selector.py@vericoding_fixed_bank_selector,primary_core_confirmatory_manifest.json,836afc0cea13575390e0ee6a91b8d8a4d59644cf7ceb26707e666e7cebe1df3d,fixed_bank_selector,confirmatory,fixed_bank_selector
False,src/slopbench_inspect/tasks/vericoding_formal_overlay.py@vericoding_formal_overlay,formal_overlay_manifest.json,7437ce086e4a3c85972b8fd24a523081547e27b1bc4cc8332ce125cc103cf6d9,formal_overlay,confirmatory,formal_overlay
False,src/slopbench_inspect/tasks/vericoding_scbench_transfer.py@vericoding_scbench_transfer,scbench_transfer_manifest.json,26730e77717bd7daa305ae95aea9c92a5da5deffc9cb4ebf2a27505977f014b8,scbench_transfer,confirmatory,scbench_regression
True,src/slopbench_inspect/tasks/vericoding_triage_eval.py@vericoding_triage_eval,primary_core_confirmatory_manifest.json,836afc0cea13575390e0ee6a91b8d8a4d59644cf7ceb26707e666e7cebe1df3d,triage_eval,confirmatory,triage_eval
